subjid,freq,amp,channel,weight
hydrolagusColliei_4,100,105,ch1,0.20630979577983705
hydrolagusColliei_4,100,105,ch2,0.272643279647885
hydrolagusColliei_4,100,105,ch3,0.26760825418592443
hydrolagusColliei_4,100,105,ch4,0.2534386703863535
