subjid,freq,amp,channel,weight
deadFish,55,130,ch1,0.27938825729376204
deadFish,55,130,ch2,0.1726433670625813
deadFish,55,130,ch3,0.24276461971525817
deadFish,55,130,ch4,0.3052037559283986
